instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://ontologi.es/doap-bugs#confirmed	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#critical	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#fixed	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#in-progress	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#invalid	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#major	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#minor	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#new	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#third-party	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#trivial	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#wont-fix	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://ontologi.es/doap-bugs#works-for-me	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://ontologi.es/doap-bugs#
http://creativecommons.org/ns#Attribution	http://www.w3.org/ns/odrl/2/Action	http://www.w3.org/2004/02/skos/core#Concept	-	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://creativecommons.org/ns#
http://creativecommons.org/ns#DerivativeWorks	http://www.w3.org/ns/odrl/2/Action	http://www.w3.org/2004/02/skos/core#Concept	-	http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#	http://creativecommons.org/ns#
