instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-completa	http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-de-movilidad-reducida			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-con-acompanyante	http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-de-movilidad-reducida			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-con-muletas	http://idi.fundacionctic.org/cruzar/turismo#Accesibilidad-de-movilidad-reducida			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Dos-tenedores	http://idi.fundacionctic.org/cruzar/turismo#Calificacion			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Sin-gluten	http://idi.fundacionctic.org/cruzar/turismo#Calificacion			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Tres-tenedores	http://idi.fundacionctic.org/cruzar/turismo#Calificacion			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Un-tenedor	http://idi.fundacionctic.org/cruzar/turismo#Calificacion			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Domingo	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Jueves	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Lunes	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Martes	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Miercoles	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Sabado	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Viernes	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-la-semana			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica_6	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica_7	http://idi.fundacionctic.org/cruzar/turismo#Dia-de-visita-turistica			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-neoclasico	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-barroco	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-contemporaneo	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-gotico	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-modernista	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-mudejar	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-renacentista	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Estilo-romano	http://idi.fundacionctic.org/cruzar/turismo#Estilo-artistico			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-con-ninyos	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-con-personas-con-discapacidad	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-pareja	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-varias-personas	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Grupo-individual	http://idi.fundacionctic.org/cruzar/turismo#Grupo-de-viaje			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita_11	http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita_7	http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita_8	http://idi.fundacionctic.org/cruzar/turismo#Horario-de-visita			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-prueba1	http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-turista			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-prueba2	http://idi.fundacionctic.org/cruzar/turismo#Perfil-de-turista			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Visitar-tiempo-largo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-ruta			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Caminar-velocidad-lenta	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-ruta			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Caminar-velocidad-rapida	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-ruta			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Visitar-tiempo-corto	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-ruta			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Conocer-expo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Conocer-zaragoza-verde	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Curiosear-por-calles	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ir-de-compras	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Pasear	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Salir-de-marcha	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-arquitectura	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-arte	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-barroco	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-contemporaneo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-gotico	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-modernista	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-mudejar	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-neoclasico	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-renacentista	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-estilo-romano	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-edificio-historico	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-edificio-religioso	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-escultura	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-fortaleza	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-museo	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-palacio	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
http://idi.fundacionctic.org/cruzar/turismo#Ver-zona-verde	http://idi.fundacionctic.org/cruzar/turismo#Preferencia-de-usuario			http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#	http://idi.fundacionctic.org/cruzar/turismo#
