instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace
http://purl.org/NET/c4dm/keys.owl#AFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#AFlatMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#AMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#AMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#ASharpMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#BFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#BFlatMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#BMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#BMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#CFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#CMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#CMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#CSharpMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#CSharpMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#DFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#DMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#DMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#DSharpMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#EFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#EFlatMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#EMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#EMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#FMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#FMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#FSharpMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#FSharpMinor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
http://purl.org/NET/c4dm/keys.owl#GFlatMajor	http://purl.org/NET/c4dm/keys.owl#Key			http://purl.org/NET/c4dm/keys.owl	http://purl.org/NET/c4dm/keys.owl#	http://purl.org/NET/c4dm/keys.owl#
